Index no.,flight_code,source_city,time_taken,stop,destinate_city,price,dep_time_category,arr_time_category,Days_Left,Flight Class
1,6E-5001,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,1,Economy
2,6E-6202,Delhi,130,non-stop,Mumbai,5955,Afternoon,Afternoon,1,Economy
3,6E-549,Delhi,135,non-stop,Mumbai,5955,Afternoon,Evening,1,Economy
4,6E-6278,Delhi,140,non-stop,Mumbai,5955,Morning,Morning,1,Economy
5,6E-5328,Delhi,150,non-stop,Mumbai,6165,Morning,Afternoon,1,Economy
6,6E-2046,Delhi,130,non-stop,Mumbai,6585,Evening,Evening,1,Economy
7,6E-5041,Delhi,130,non-stop,Mumbai,10470,Evening,Night,1,Business
8,6E-2373,Delhi,360,1-stop,Mumbai,10838,Afternoon,Evening,1,Business
9,6E-2193,Delhi,230,1-stop,Mumbai,13279,Afternoon,Evening,1,Business
10,6E-2168,Delhi,265,1-stop,Mumbai,13279,Evening,Night,1,Business
11,6E-152,Delhi,460,1-stop,Mumbai,13279,Morning,Evening,1,Business
12,6E-2193,Delhi,500,1-stop,Mumbai,13279,Afternoon,Night,1,Business
13,6E-369,Delhi,625,1-stop,Mumbai,13279,Night,Morning,1,Business
14,6E-2338,Delhi,480,1-stop,Mumbai,13767,Afternoon,Night,1,Business
15,6E-184,Delhi,250,1-stop,Mumbai,15720,Morning,Afternoon,1,Business
16,6E-2102,Delhi,305,1-stop,Mumbai,15720,Early Morning,Afternoon,1,Business
17,6E-5001,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,2,Economy
18,6E-2046,Delhi,130,non-stop,Mumbai,5955,Evening,Evening,2,Economy
19,6E-5041,Delhi,130,non-stop,Mumbai,5955,Evening,Night,2,Economy
20,6E-218,Delhi,135,non-stop,Mumbai,5955,Morning,Afternoon,2,Economy
21,6E-549,Delhi,135,non-stop,Mumbai,5955,Afternoon,Evening,2,Economy
22,6E-6722,Delhi,135,non-stop,Mumbai,5955,Night,Night,2,Economy
23,6E-6278,Delhi,140,non-stop,Mumbai,5955,Morning,Morning,2,Economy
24,6E-5328,Delhi,150,non-stop,Mumbai,5955,Morning,Afternoon,2,Economy
25,6E-6202,Delhi,130,non-stop,Mumbai,7845,Afternoon,Afternoon,2,Economy
26,6E-2022,Delhi,615,1-stop,Mumbai,8396,Early Morning,Evening,2,Economy
27,6E-2154,Delhi,245,1-stop,Mumbai,10523,Morning,Afternoon,2,Business
28,6E-2168,Delhi,265,1-stop,Mumbai,10838,Evening,Night,2,Business
29,6E-2193,Delhi,500,1-stop,Mumbai,10838,Afternoon,Night,2,Business
30,6E-369,Delhi,625,1-stop,Mumbai,10838,Night,Morning,2,Business
31,6E-2338,Delhi,480,1-stop,Mumbai,11326,Afternoon,Night,2,Business
32,6E-282,Delhi,580,2+-stop,Mumbai,11678,Morning,Evening,2,Business
33,6E-2193,Delhi,230,1-stop,Mumbai,11814,Afternoon,Evening,2,Business
34,6E-152,Delhi,460,1-stop,Mumbai,11814,Morning,Evening,2,Business
35,6E-607,Delhi,610,1-stop,Mumbai,12302,Night,Morning,2,Business
36,6E-2102,Delhi,305,1-stop,Mumbai,15232,Early Morning,Afternoon,2,Business
37,6E-184,Delhi,250,1-stop,Mumbai,15720,Morning,Afternoon,2,Business
38,6E-5018,Delhi,620,1-stop,Mumbai,15720,Afternoon,Night,2,Business
39,6E-5001,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,3,Economy
40,6E-218,Delhi,135,non-stop,Mumbai,5955,Morning,Afternoon,3,Economy
41,6E-6278,Delhi,140,non-stop,Mumbai,5955,Morning,Morning,3,Economy
42,6E-5328,Delhi,150,non-stop,Mumbai,5955,Morning,Afternoon,3,Economy
43,6E-2022,Delhi,615,1-stop,Mumbai,7420,Early Morning,Evening,3,Economy
44,6E-2154,Delhi,300,1-stop,Mumbai,7583,Morning,Afternoon,3,Economy
45,6E-6202,Delhi,130,non-stop,Mumbai,7845,Afternoon,Afternoon,3,Economy
46,6E-5041,Delhi,130,non-stop,Mumbai,8055,Evening,Night,3,Economy
47,6E-2046,Delhi,130,non-stop,Mumbai,8370,Evening,Evening,3,Economy
48,6E-549,Delhi,135,non-stop,Mumbai,8370,Afternoon,Evening,3,Economy
49,6E-2373,Delhi,360,1-stop,Mumbai,10523,Afternoon,Evening,3,Business
50,6E-369,Delhi,625,1-stop,Mumbai,10943,Night,Morning,3,Business
51,6E-2168,Delhi,265,1-stop,Mumbai,11326,Evening,Night,3,Business
52,6E-2193,Delhi,500,1-stop,Mumbai,11326,Afternoon,Night,3,Business
53,6E-2193,Delhi,230,1-stop,Mumbai,11814,Afternoon,Evening,3,Business
54,6E-152,Delhi,460,1-stop,Mumbai,11814,Morning,Evening,3,Business
55,6E-181,Delhi,290,1-stop,Mumbai,11993,Early Morning,Morning,3,Business
56,6E-2092,Delhi,320,1-stop,Mumbai,12570,Evening,Night,3,Business
57,6E-5018,Delhi,620,1-stop,Mumbai,12570,Afternoon,Night,3,Business
58,6E-5063,Delhi,325,1-stop,Mumbai,13279,Afternoon,Night,3,Business
59,6E-2102,Delhi,305,1-stop,Mumbai,13767,Early Morning,Afternoon,3,Business
60,6E-2338,Delhi,480,1-stop,Mumbai,14744,Afternoon,Night,3,Business
61,6E-7403,Delhi,520,1-stop,Mumbai,15232,Early Morning,Evening,3,Business
62,6E-607,Delhi,610,1-stop,Mumbai,15232,Night,Morning,3,Business
63,6E-6722,Delhi,135,non-stop,Mumbai,15720,Night,Night,3,Business
64,6E-184,Delhi,250,1-stop,Mumbai,15720,Morning,Afternoon,3,Business
65,6E-2154,Delhi,555,1-stop,Mumbai,15720,Morning,Evening,3,Business
66,6E-2054,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,4,Economy
67,6E-6202,Delhi,130,non-stop,Mumbai,5955,Afternoon,Afternoon,4,Economy
68,6E-2046,Delhi,130,non-stop,Mumbai,5955,Evening,Evening,4,Economy
69,6E-5041,Delhi,130,non-stop,Mumbai,5955,Evening,Night,4,Economy
70,6E-218,Delhi,135,non-stop,Mumbai,5955,Morning,Afternoon,4,Economy
71,6E-549,Delhi,135,non-stop,Mumbai,5955,Afternoon,Evening,4,Economy
72,6E-6722,Delhi,135,non-stop,Mumbai,5955,Night,Night,4,Economy
73,6E-6278,Delhi,140,non-stop,Mumbai,5955,Morning,Morning,4,Economy
74,6E-5328,Delhi,150,non-stop,Mumbai,5955,Morning,Afternoon,4,Economy
75,6E-2022,Delhi,615,1-stop,Mumbai,5955,Early Morning,Evening,4,Economy
76,6E-5018,Delhi,620,1-stop,Mumbai,5955,Afternoon,Night,4,Economy
77,6E-369,Delhi,625,1-stop,Mumbai,5955,Night,Morning,4,Economy
78,6E-5001,Delhi,130,non-stop,Mumbai,6165,Early Morning,Morning,4,Economy
79,6E-2092,Delhi,320,1-stop,Mumbai,6443,Evening,Night,4,Economy
80,6E-607,Delhi,610,1-stop,Mumbai,6932,Night,Morning,4,Economy
81,6E-2193,Delhi,230,1-stop,Mumbai,7420,Afternoon,Evening,4,Economy
82,6E-152,Delhi,460,1-stop,Mumbai,7420,Morning,Evening,4,Economy
83,6E-2193,Delhi,500,1-stop,Mumbai,7420,Afternoon,Night,4,Economy
84,6E-2338,Delhi,480,1-stop,Mumbai,8885,Afternoon,Night,4,Economy
85,6E-2373,Delhi,360,1-stop,Mumbai,9788,Afternoon,Evening,4,Economy
86,6E-2168,Delhi,265,1-stop,Mumbai,10349,Evening,Night,4,Business
87,6E-184,Delhi,250,1-stop,Mumbai,10523,Morning,Afternoon,4,Business
88,6E-2102,Delhi,305,1-stop,Mumbai,12302,Early Morning,Afternoon,4,Business
89,6E-181,Delhi,290,1-stop,Mumbai,12518,Early Morning,Morning,4,Business
90,6E-2054,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,5,Economy
91,6E-5001,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,5,Economy
92,6E-6202,Delhi,130,non-stop,Mumbai,5955,Afternoon,Afternoon,5,Economy
93,6E-2046,Delhi,130,non-stop,Mumbai,5955,Evening,Evening,5,Economy
94,6E-5041,Delhi,130,non-stop,Mumbai,5955,Evening,Night,5,Economy
95,6E-218,Delhi,135,non-stop,Mumbai,5955,Morning,Afternoon,5,Economy
96,6E-549,Delhi,135,non-stop,Mumbai,5955,Afternoon,Evening,5,Economy
97,6E-6722,Delhi,135,non-stop,Mumbai,5955,Night,Night,5,Economy
98,6E-6278,Delhi,140,non-stop,Mumbai,5955,Morning,Morning,5,Economy
99,6E-5328,Delhi,150,non-stop,Mumbai,5955,Morning,Afternoon,5,Economy
100,6E-181,Delhi,290,1-stop,Mumbai,6443,Early Morning,Morning,5,Economy
101,6E-5018,Delhi,620,1-stop,Mumbai,6443,Afternoon,Night,5,Economy
102,6E-282,Delhi,580,2+-stop,Mumbai,6953,Morning,Evening,5,Economy
103,6E-184,Delhi,250,1-stop,Mumbai,7163,Morning,Afternoon,5,Economy
104,6E-2168,Delhi,265,1-stop,Mumbai,7420,Evening,Night,5,Economy
105,6E-2193,Delhi,500,1-stop,Mumbai,7420,Afternoon,Night,5,Economy
106,6E-2193,Delhi,230,1-stop,Mumbai,8396,Afternoon,Evening,5,Economy
107,6E-2022,Delhi,615,1-stop,Mumbai,8396,Early Morning,Evening,5,Economy
108,6E-2102,Delhi,305,1-stop,Mumbai,9373,Early Morning,Afternoon,5,Economy
109,6E-152,Delhi,460,1-stop,Mumbai,9373,Morning,Evening,5,Economy
110,6E-2154,Delhi,245,1-stop,Mumbai,9998,Morning,Afternoon,5,Economy
111,6E-7403,Delhi,520,1-stop,Mumbai,13279,Early Morning,Evening,5,Business
112,6E-2154,Delhi,500,1-stop,Mumbai,15720,Morning,Evening,5,Business
113,6E-2054,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,6,Economy
114,6E-5001,Delhi,130,non-stop,Mumbai,5955,Early Morning,Morning,6,Economy
115,6E-6202,Delhi,130,non-stop,Mumbai,5955,Afternoon,Afternoon,6,Economy
116,6E-5041,Delhi,130,non-stop,Mumbai,5955,Evening,Night,6,Economy
117,6E-2137,Delhi,130,non-stop,Mumbai,5955,Night,Night,6,Economy
118,6E-6278,Delhi,140,non-stop,Mumbai,5955,Morning,Morning,6,Economy
119,6E-218,Delhi,140,non-stop,Mumbai,5955,Morning,Afternoon,6,Economy
120,6E-5328,Delhi,150,non-stop,Mumbai,5955,Morning,Afternoon,6,Economy
121,6E-2097,Delhi,455,1-stop,Mumbai,5955,Early Morning,Afternoon,6,Economy
122,6E-6722,Delhi,135,non-stop,Mumbai,6165,Night,Night,6,Economy
123,6E-2046,Delhi,130,non-stop,Mumbai,6585,Evening,Evening,6,Economy
124,6E-549,Delhi,135,non-stop,Mumbai,6585,Afternoon,Evening,6,Economy
125,6E-184,Delhi,250,1-stop,Mumbai,6638,Morning,Afternoon,6,Economy
126,6E-2092,Delhi,320,1-stop,Mumbai,6932,Evening,Night,6,Economy
127,6E-5018,Delhi,620,1-stop,Mumbai,6932,Afternoon,Night,6,Economy
128,6E-2168,Delhi,265,1-stop,Mumbai,7420,Evening,Night,6,Economy
129,6E-2102,Delhi,305,1-stop,Mumbai,7908,Early Morning,Afternoon,6,Economy
130,6E-926,Delhi,295,1-stop,Mumbai,8885,Evening,Night,6,Economy
131,6E-2373,Delhi,360,1-stop,Mumbai,10003,Afternoon,Evening,6,Business
132,6E-2338,Delhi,480,1-stop,Mumbai,10838,Afternoon,Night,6,Business
133,6E-152,Delhi,460,1-stop,Mumbai,11814,Morning,Evening,6,Business
